gene_id	Apoly_gene	gene_symbol
g10221	Apoly020248	UBX2A_MOUSE
g10222	Apoly020249	ATD2B_HUMAN
g1023	Apoly018862	RET3_XENLA
g10231	Apoly020250	TRIB2_HUMAN
g10236	Apoly020254	GZF1_RAT
g10237	Apoly020255	SNAB_MOUSE
g10238	Apoly020256	GPCP1_HUMAN
g10239	Apoly020257	No_ID
g1024	Apoly018863	GDF10_BOVIN
g10240	Apoly020258	TRM6_HUMAN
g10241	Apoly020259	FERM1_HUMAN
g10243	Apoly020260	BMP2_TETNG
g10245	Apoly020261	PLCB1_BOVIN
g10246	Apoly020262	PLCB4_HUMAN
g10247	Apoly020263	ANR63_HUMAN
g10248	Apoly020264	LAMP5_DANRE
g10249	Apoly020265	PAK5_RAT
g1025	Apoly018864	FRPD2_HUMAN
g10252	Apoly020266	LEG3_HUMAN
g10254	Apoly020267	MABP1_MOUSE
g10255	Apoly020268	No_ID
g10256	Apoly020269	MGAP_HUMAN
g1026	Apoly018865	MK08_DANRE
g10260	Apoly020270	BAHD1_HUMAN
g10262	Apoly020271	No_ID
g10263	Apoly020272	EMAL1_MOUSE
g10265	Apoly020273	EVL_PONAB
g10267	Apoly020274	No_ID
g10268	Apoly020275	TYY1_HUMAN
g1027	Apoly018866	RHG22_HUMAN
g10270	Apoly020276	LRFN5_MOUSE
g10271	Apoly020277	SAM15_MOUSE
g10272	Apoly020278	MMSA_MOUSE
g10273	Apoly020279	ENTP5_CHICK
g10274	Apoly020280	ZN410_BOVIN
g10275	Apoly020281	CIPC_PONAB
g10277	Apoly020282	VEGFA_SHEEP
g10279	Apoly020283	ARP10_BOVIN
g10280	Apoly020284	ARMD4_HUMAN
g10282	Apoly020285	NAA30_MOUSE
g10283	Apoly020286	OTX2_DANRE
g10287	Apoly020287	PELI2_HUMAN
g10290	Apoly020288	ARF6_RAT
g10292	Apoly020289	PRP39_DANRE
g10293	Apoly020290	RS30_RAT
g10294	Apoly020291	FKBP3_BOVIN
g10298	Apoly020292	MDGA2_HUMAN
g1030	Apoly018867	No_ID
g10302	Apoly020293	UDB31_CANLF
g10305	Apoly020296	MGAT2_RAT
g10307	Apoly020297	WDR20_HUMAN
g10308	Apoly020298	H90A1_DANRE
g10309	Apoly020299	HS90A_RABIT
g1031	Apoly018868	LRC18_HUMAN
g10310	Apoly020300	2A5D_HUMAN
g10314	Apoly020302	IOD3_SPAAU
g10315	Apoly020303	IOD3_SPAAU
g10318	Apoly020304	S247A_DANRE
g10319	Apoly020305	MCATL_HUMAN
g10320	Apoly020306	No_ID
g10321	Apoly020307	VRTN_DANRE
g10323	Apoly020308	SYN1L_DANRE
g10329	Apoly020309	DLL4_HUMAN
g1033	Apoly018869	VSTM4_MOUSE
g10330	Apoly020310	CHAC1_DANRE
g10331	Apoly020311	INO80_HUMAN
g10332	Apoly020312	VPS18_DANRE
g10333	Apoly020313	RHOV_MOUSE
g10336	Apoly020314	PIGH_HUMAN
g10337	Apoly020315	ZFYV1_HUMAN
g10338	Apoly020316	ZFYV1_HUMAN
g10339	Apoly020317	OTOF_DANRE
g1034	Apoly018870	No_ID
g10340	Apoly020318	FNDC1_RAT
g10341	Apoly020319	SODM_MACFA
g10342	Apoly020320	FL2D_DANRE
g10343	Apoly020321	THIC_HUMAN
g10344	Apoly020322	TCPA_PALPA
g10345	Apoly020323	PKHG1_HUMAN
g10347	Apoly020324	No_ID
g10348	Apoly020325	PPN_MOUSE
g10349	Apoly020326	ERH_MOUSE
g10350	Apoly020327	PP4R3_DANRE
g10352	Apoly020328	No_ID
g10359	Apoly020329	MYCN_CHICK
g1036	Apoly018871	CEFIP_HUMAN
g10363	Apoly020330	RM19_BOVIN
g10364	Apoly020331	EVA1C_HUMAN
g10366	Apoly020332	EFHC1_HUMAN
g10367	Apoly020333	TRAM2_HUMAN
g10368	Apoly020334	XKR5_HUMAN
g10369	Apoly020335	PRDM1_HUMAN
g1037	Apoly018872	BMP2A_XENLA
g10370	Apoly020336	PPCE_MOUSE
g10371	Apoly020337	LN28B_HUMAN
g10372	Apoly020338	GRIK2_MACFA
g10373	Apoly020339	CILP2_HUMAN
g10377	Apoly020340	SIM1_HUMAN
g1038	Apoly018873	RADIL_DANRE
g10381	Apoly020341	RIPP2_HUMAN
g10382	Apoly020342	MRP2A_DANRE
g10383	Apoly020343	CRBG1_HUMAN
g10384	Apoly020344	RT4I1_DANRE
g10388	Apoly020345	SOBPA_DANRE
g1039	Apoly018874	MRP3_MOUSE
g10390	Apoly020346	ROCK2_MOUSE
g10391	Apoly020347	A2GL_HUMAN
g10392	Apoly020348	A2GL_HUMAN
g10393	Apoly020349	KCNF1_MOUSE
g10394	Apoly020350	PDIA6_RAT
g10395	Apoly020351	HPCL1_TAEGU
g10396	Apoly020352	APOB_HUMAN
g10397	Apoly020353	RHOB_RAT
g10398	Apoly020354	PUM2_XENLA
g10399	Apoly020355	No_ID
g104	Apoly018216	HS3SA_MOUSE
g1040	Apoly018875	WFKN2_BOVIN
g10401	Apoly020356	LAP4A_CHICK
g10402	Apoly020357	MATN3_CHICK
g10403	Apoly020358	TTC32_MOUSE
g10404	Apoly020359	ZP2_BOVIN
g10405	Apoly020360	ZP2_PIG
g10407	Apoly020361	KCNS3_MOUSE
g10408	Apoly020362	EMSA1_HUMAN
g10411	Apoly020364	TTBK2_HUMAN
g10412	Apoly020365	CHUR_DANRE
g10413	Apoly020366	ZN106_HUMAN
g10414	Apoly020367	CAN3_MOUSE
g10415	Apoly020368	NRBP_MACFA
g10416	Apoly020369	MACOI_PIG
g10417	Apoly020370	CRVP_TELDH
g10418	Apoly020371	RHAG_HUMAN
g10419	Apoly020372	AKA7G_HUMAN
g10420	Apoly020373	MED23_DANRE
g10421	Apoly020374	I20RA_HUMAN
g10423	Apoly020375	EHD1_BOVIN
g10424	Apoly020376	CCL14_HUMAN
g10425	Apoly020377	STUM_DANRE
g10426	Apoly020378	COQ8A_DANRE
g10427	Apoly020379	IP3KB_HUMAN
g10428	Apoly020380	E41L2_HUMAN
g10429	Apoly020381	E41L2_HUMAN
g10432	Apoly020382	T200A_DANRE
g10434	Apoly020383	TM244_HUMAN
g10435	Apoly020384	FKBP6_BOVIN
g10436	Apoly020385	RHG18_HUMAN
g10437	Apoly020386	SE1L1_MOUSE
g10438	Apoly020387	PLB1_MONDO
g10439	Apoly020388	CMGA_STRCA
g10440	Apoly020389	CTGF_PIG
g10443	Apoly020391	STX7_MOUSE
g10444	Apoly020392	LEG1H_ONCMY
g10445	Apoly020393	DPF3_DANRE
g10446	Apoly020394	DCAF4_HUMAN
g10447	Apoly020395	OSTM1_HUMAN
g10448	Apoly020396	NR2E1_ORYLA
g10449	Apoly020397	SNX3_RAT
g1045	Apoly018876	TOB1_HUMAN
g10450	Apoly020398	LCE1B_DANRE
g10451	Apoly020399	FOXO3_XENLA
g10452	Apoly020400	ARMC2_BOVIN
g10453	Apoly020401	SESN1_MACFA
g10456	Apoly020402	CE57L_XENTR
g10457	Apoly020403	PPIL6_BOVIN
g10458	Apoly020404	GEN_HUMAN
g10459	Apoly020405	MSGN1_DANRE
g1046	Apoly018877	ZBED8_HUMAN
g10460	Apoly020406	No_ID
g10461	Apoly020407	RT10_DANRE
g10462	Apoly020408	TULP4_MOUSE
g10463	Apoly020409	TM181_HUMAN
g10464	Apoly020410	DYLT1_HUMAN
g10465	Apoly020411	TF2H5_CHICK
g10466	Apoly020412	SRAC1_DANRE
g10467	Apoly020413	MYCT1_DANRE
g10469	Apoly020414	SYNE1_MOUSE
g10470	Apoly020415	SYNE1_HUMAN
g10471	Apoly020416	SYNE1_HUMAN
g10472	Apoly020417	SYNE1_HUMAN
g10473	Apoly020418	SYNE1_HUMAN
g10474	Apoly020419	SYNE1_HUMAN
g10475	Apoly020420	ESR1_ORYLA
g10477	Apoly020421	ZBTB2_HUMAN
g10478	Apoly020422	AKA12_MOUSE
g10479	Apoly020423	C1TM_BOVIN
g10481	Apoly020424	STX11_MOUSE
g10482	Apoly020425	STX11_MOUSE
g10483	Apoly020426	UTRO_HUMAN
g10486	Apoly020427	EPM2A_RAT
g10488	Apoly020428	CN132_HUMAN
g10489	Apoly020429	ASB2_MOUSE
g10490	Apoly020430	ASB2_MOUSE
g10491	Apoly020431	PP4R4_MOUSE
g10492	Apoly020432	ZPI_MOUSE
g10493	Apoly020433	XRCC3_MOUSE
g10494	Apoly020434	TF3B_MOUSE
g10495	Apoly020435	ZP2_PIG
g10496	Apoly020436	TF3B_MOUSE
g10497	Apoly020437	BTBD6_HUMAN
g10498	Apoly020438	TF3B_MOUSE
g10499	Apoly020439	AHSA1_MOUSE
g10500	Apoly020440	SPE39_DANRE
g10502	Apoly020441	GP132_MOUSE
g10503	Apoly020442	MRCKB_RAT
g10504	Apoly020443	RDS2_CHICK
g10507	Apoly020444	KCRB_CHICK
g10508	Apoly020445	MARK3_HUMAN
g10509	Apoly020446	TNAP2_HUMAN
g10510	Apoly020447	LBH_HUMAN
g10511	Apoly020448	NGB_TETNG
g10512	Apoly020449	C170B_XENTR
g10513	Apoly020450	INF2_HUMAN
g10514	Apoly020451	C1TC_RAT
g10517	Apoly020452	ZBT25_GORGO
g10518	Apoly020453	ZBTB1_HUMAN
g10519	Apoly020454	INAM2_HUMAN
g10520	Apoly020455	MYH7_PIG
g10521	Apoly020456	MYH6_MOUSE
g10522	Apoly020457	PAK6_MOUSE
g10523	Apoly020458	BUB1B_HUMAN
g10524	Apoly020459	SPIT1_MOUSE
g10525	Apoly020460	PKHG3_HUMAN
g10530	Apoly020461	KI26A_MOUSE
g10535	Apoly020462	KBTBB_MOUSE
g10536	Apoly020463	CCR6_MOUSE
g10537	Apoly020464	FR1OP_HUMAN
g10538	Apoly020465	MBOA2_CHICK
g10539	Apoly020466	CCR6_MOUSE
g1054	Apoly018878	JIP4_MOUSE
g10540	Apoly020467	KDISB_DANRE
g10542	Apoly020468	SOX11_XENTR
g10548	Apoly020469	ALLC_DANRE
g10549	Apoly020470	NLRC3_HUMAN
g1055	Apoly018879	JIP4_HUMAN
g10550	Apoly020471	RINI_MOUSE
g10551	Apoly020472	No_ID
g10552	Apoly020473	No_ID
g10554	Apoly020474	ASAP2_HUMAN
g10555	Apoly020475	CPSF3_BOVIN
g10556	Apoly020476	ADA17_HUMAN
g10557	Apoly020477	TAF1B_DANRE
g1056	Apoly018880	DGLB_HUMAN
g10560	Apoly020478	KLF11_MOUSE
g10561	Apoly020479	RIR2_DANRE
g10562	Apoly020480	LEG8_HUMAN
g10563	Apoly020481	RIR2_DANRE
g10564	Apoly020482	ZDH14_HUMAN
g10566	Apoly020483	TM242_DANRE
g10567	Apoly020484	ARI1B_HUMAN
g10568	Apoly020485	CLD20_HUMAN
g1057	Apoly018881	TBA1C_MOUSE
g10570	Apoly020486	TIAM2_MOUSE
g10571	Apoly020487	TIAM2_HUMAN
g10575	Apoly020488	C163A_CANLF
g10576	Apoly020489	PLMN_MOUSE
g10577	Apoly020490	KCRM_CANLF
g10578	Apoly020491	EDN1_FELCA
g10579	Apoly020492	AGRG6_DANRE
g1058	Apoly018882	ICT1_SALSA
g10580	Apoly020493	VTA1_BOVIN
g10582	Apoly020494	CXE1_MOUSE
g10587	Apoly020495	TXLNB_CHICK
g10589	Apoly020496	S35D3_MOUSE
g10591	Apoly020497	PEX7_HUMAN
g10592	Apoly020498	ADF1_DROME
g10593	Apoly020499	HEY2_DANRE
g10594	Apoly020500	LGUL_MOUSE
g10595	Apoly020501	BUB1_HUMAN
g10596	Apoly020502	HNRPQ_HUMAN
g10597	Apoly020503	SNX14_DANRE
g10598	Apoly020504	5NTD_BOVIN
g10604	Apoly020505	MEI4_DANRE
g10605	Apoly020506	5HT1B_PANTR
g10608	Apoly020507	IMPG1_CHICK
g10609	Apoly020508	MYO6_HUMAN
g1061	Apoly018883	CDR2L_DANRE
g10610	Apoly020509	SENP6_MOUSE
g10611	Apoly020510	FLIP1_RAT
g10612	Apoly020511	FLIP1_RAT
g10613	Apoly020512	CC50A_CHICK
g10614	Apoly020513	CX7A2_BOVIN
g10615	Apoly020514	COCA1_CHICK
g10616	Apoly020515	LRIG1_HUMAN
g10620	Apoly020516	No_ID
g10621	Apoly020517	No_ID
g10625	Apoly020518	No_ID
g10627	Apoly020519	CD109_HUMAN
g10628	Apoly020520	NAA20_DANRE
g10629	Apoly020521	CRNL1_RAT
g1063	Apoly018884	No_ID
g10630	Apoly020522	CFA61_HUMAN
g10631	Apoly020523	INS1A_DANRE
g10634	Apoly020524	GLMU_SYNJA
g10635	Apoly020525	XRN2_MOUSE
g10636	Apoly020526	NKX24_HUMAN
g10638	Apoly020528	NX22A_DANRE
g10639	Apoly020529	PAX1_MOUSE
g1064	Apoly018885	S30BP_HUMAN
g10641	Apoly020530	FOXA2_ORYLA
g10642	Apoly020531	CEBOS_HUMAN
g10643	Apoly020532	CEBPZ_MOUSE
g10644	Apoly020533	NDUF7_DANRE
g10645	Apoly020534	KPCD3_HUMAN
g10647	Apoly020536	CNKR3_HUMAN
g10648	Apoly020537	No_ID
g10649	Apoly020538	No_ID
g1065	Apoly018886	ITB4_MOUSE
g10652	Apoly020539	FLVC1_HUMAN
g10653	Apoly020540	SPT45_DANRE
g10654	Apoly020541	TATD3_DANRE
g10655	Apoly020542	TATD3_DANRE
g10656	Apoly020543	NSL1_HUMAN
g10657	Apoly020544	BATF3_RAT
g10658	Apoly020545	ATF3_BOVIN
g10659	Apoly020546	PEX3_BOVIN
g1066	Apoly018887	TRI39_MOUSE
g10660	Apoly020547	ADAT2_DANRE
g10661	Apoly020548	AIG1_MOUSE
g10664	Apoly020549	ZEP2_RAT
g10665	Apoly020550	E2F6_BOVIN
g10666	Apoly020551	MYT1L_MOUSE
g1067	Apoly018888	RUFY4_MOUSE
g10670	Apoly020552	RNH1_MOUSE
g10671	Apoly020553	RS7_TAKRU
g10673	Apoly020554	CP2K1_ONCMY
g10674	Apoly020555	VASH2_HUMAN
g10675	Apoly020556	No_ID
g10677	Apoly020557	ANGE2_DANRE
g10678	Apoly020558	GLT14_HUMAN
g10679	Apoly020559	ZFAN3_HUMAN
g1068	Apoly018889	H3C_MOUSE
g10680	Apoly020560	BTBD9_HUMAN
g10681	Apoly020561	No_ID
g10685	Apoly020562	No_ID
g10687	Apoly020563	No_ID
g10688	Apoly020564	PNRC1_HUMAN
g10689	Apoly020565	CRIP2_MOUSE
g1069	Apoly018890	UNK_CANLF
g10690	Apoly020566	FABP7_BOVIN
g10691	Apoly020567	ASM3A_HUMAN
g10693	Apoly020568	CLVS2_DANRE
g10694	Apoly020569	TRDN_CANLF
g10696	Apoly020570	No_ID
g10697	Apoly020571	No_ID
g10698	Apoly020572	ZN512_PONAB
g1070	Apoly018891	UN13D_MOUSE
g10700	Apoly020573	TF3C2_HUMAN
g10701	Apoly020574	ZNT2_MOUSE
g10703	Apoly020575	UCKL1_HUMAN
g10704	Apoly020576	MPV17_DANRE
g10705	Apoly020577	UTS1_ONCMY
g10706	Apoly020578	TRI54_MOUSE
g10707	Apoly020579	DNJC5_TETCF
g10708	Apoly020580	PYR1_SQUAC
g10709	Apoly020581	IF172_DANRE
g1071	Apoly018892	WBP2_HUMAN
g10710	Apoly020582	MSRA_BOVIN
g10711	Apoly020583	HCAR2_HUMAN
g10712	Apoly020584	HCAR2_MOUSE
g10713	Apoly020585	CENPJ_MOUSE
g10714	Apoly020586	TTLL2_HUMAN
g10715	Apoly020587	MPRI_HUMAN
g10716	Apoly020588	S22A2_RABIT
g1072	Apoly018893	TRI65_MOUSE
g10720	Apoly020589	SAMD3_HUMAN
g10725	Apoly020590	S22A2_PIG
g10726	Apoly020591	PLMN_MOUSE
g10727	Apoly020592	VGLL2_MOUSE
g10728	Apoly020593	RFX6_HUMAN
g10729	Apoly020594	TDR15_HUMAN
g1073	Apoly018894	RM38_MOUSE
g10730	Apoly020595	AFAD_HUMAN
g10731	Apoly020596	AFAD_HUMAN
g10732	Apoly020597	CEP41_DANRE
g10733	Apoly020598	UN93A_DANRE
g10734	Apoly020599	NCOA1_HUMAN
g10736	Apoly020600	PTRD1_BOVIN
g10737	Apoly020601	F184A_HUMAN
g1074	Apoly018895	ADRO_SALFO
g10740	Apoly020603	MA1A1_HUMAN
g10743	Apoly020604	BROMI_DANRE
g10744	Apoly020605	HSDL1_DANRE
g10745	Apoly020606	CX33_MICUN
g10746	Apoly020607	CX32_MICUN
g10747	Apoly020608	CX32_MICUN
g10748	Apoly020609	CA198_DANRE
g10749	Apoly020610	No_ID
g1075	Apoly018896	NARF_DANRE
g10750	Apoly020611	No_ID
g10751	Apoly020612	TTC13_HUMAN
g10752	Apoly020613	ARV1_BOVIN
g10753	Apoly020614	FA89A_XENLA
g10755	Apoly020615	SPRTN_XENTR
g10756	Apoly020616	EXOC8_XENLA
g1076	Apoly018897	CYBC1_DANRE
g10763	Apoly020617	ZCHC3_HUMAN
g10767	Apoly020618	TRI67_HUMAN
g10768	Apoly020619	CA131_HUMAN
g10769	Apoly020620	GNPAT_HUMAN
g1077	Apoly018898	HEXD_HUMAN
g10772	Apoly020621	EXT1A_DANRE
g10774	Apoly020622	PLE4_PSEAM
g10775	Apoly020623	MORO_MORSA
g10776	Apoly020624	MORO_MORSA
g10777	Apoly020625	MORO_MORSA
g10779	Apoly020626	PLE3_PSEAM
g1078	Apoly018899	OGFD3_MOUSE
g10781	Apoly020627	PLE3_PSEAM
g10782	Apoly020628	EXT1_CRIGR
g10783	Apoly020629	SAM12_MOUSE
g10784	Apoly020630	SCAR5_DANRE
g10785	Apoly020631	TOPK_DANRE
g10786	Apoly020632	ESCO2_DANRE
g10787	Apoly020633	CCD25_DANRE
g10788	Apoly020634	HLX_RAT
g10789	Apoly020635	DUS10_BOVIN
g1079	Apoly018900	LITD1_HUMAN
g10791	Apoly020636	TAF1A_HUMAN
g10792	Apoly020637	TGO1_BOVIN
g10793	Apoly020638	AIDA_DANRE
g10794	Apoly020639	RNF8_DANRE
g10795	Apoly020640	T151B_DANRE
g10796	Apoly020641	IKBE_HUMAN
g10798	Apoly020643	S35B2_HUMAN
g10799	Apoly020644	HS90B_DANRE
g1080	Apoly018901	No_ID
g10800	Apoly020645	RBM25_HUMAN
g10801	Apoly020646	IF2A_CHICK
g10802	Apoly020647	VATD_PONAB
g10803	Apoly020648	MPP5A_DANRE
g10805	Apoly020649	GEPH_MOUSE
g10807	Apoly020651	FUT8_XENTR
g1081	Apoly018902	UR2R_RAT
g10813	Apoly020652	TM121_CHICK
g10814	Apoly020653	NCKX4_MOUSE
g10815	Apoly020654	CPSF2_MOUSE
g10816	Apoly020655	RIOX1_DANRE
g10817	Apoly020656	EXTL3_HUMAN
g10818	Apoly020657	SYT14_MOUSE
g10819	Apoly020658	No_ID
g10820	Apoly020659	5NT1A_MOUSE
g10821	Apoly020660	5NT1A_MOUSE
g10824	Apoly020661	BEGIN_HUMAN
g10825	Apoly020662	RDH14_MOUSE
g10827	Apoly020663	IL6RB_MOUSE
g10828	Apoly020664	MCE1_DANRE
g1083	Apoly018903	LITD1_MOUSE
g10832	Apoly020665	CNR1A_TAKRU
g10833	Apoly020666	AKIR2_HUMAN
g10834	Apoly020667	SYRM_BOVIN
g10835	Apoly020668	S35A1_MOUSE
g10836	Apoly020669	YPEL5_PONAB
g10837	Apoly020670	PLB1_MOUSE
g10838	Apoly020671	PP1B_XENTR
g10839	Apoly020672	BPNT1_BOVIN
g1084	Apoly018904	UR2R_RAT
g10840	Apoly020673	SMDC1_HUMAN
g10841	Apoly020674	C10_DANRE
g10842	Apoly020675	CYTSB_HUMAN
g10844	Apoly020676	DLGP2_HUMAN
g10845	Apoly020677	PTPRK_MOUSE
g10846	Apoly020678	PTPRK_MOUSE
g1085	Apoly018905	No_ID
g10851	Apoly020679	VIAAT_XENTR
g10857	Apoly020680	RGS6_MOUSE
g10863	Apoly020681	SI1L1_HUMAN
g10867	Apoly020682	RAB15_RAT
g10868	Apoly020683	FNTB_MOUSE
g10869	Apoly020684	MAX_DANRE
g10871	Apoly020685	NTCP_HUMAN
g10872	Apoly020686	SRSF5_RAT
g10873	Apoly020687	SUSD6_MOUSE
g10876	Apoly020688	GP176_RAT
g10885	Apoly020689	POGK_HUMAN
g10887	Apoly020690	YTX2_XENLA
g10890	Apoly020691	No_ID
g10891	Apoly020692	TSP1_XENLA
g10892	Apoly020693	No_ID
g10903	Apoly020694	No_ID
g10904	Apoly020695	No_ID
g10906	Apoly020696	KTBL1_MOUSE
g10907	Apoly020697	EMC7_DANRE
g10908	Apoly020698	ACM5_SAIBB
g10909	Apoly020699	AVEN_MOUSE
g10910	Apoly020700	RYR3_HUMAN
g10912	Apoly020701	LITD1_HUMAN
g10913	Apoly020702	LITD1_MOUSE
g10914	Apoly020703	No_ID
g10916	Apoly020704	LORF1_MOUSE
g10920	Apoly020705	No_ID
g10925	Apoly020706	GREM1_XENLA
g10926	Apoly020707	7B2_HUMAN
g10927	Apoly020708	RHGBB_HUMAN
g10928	Apoly020709	No_ID
g10929	Apoly020710	No_ID
g10930	Apoly020711	ACTC_TAKRU
g10933	Apoly020712	No_ID
g10936	Apoly020713	KAD7_MOUSE
g10937	Apoly020714	SCAR3_HUMAN
g10939	Apoly020715	RTJK_DROFU
g10945	Apoly020716	CLUS_COTJA
g10946	Apoly020717	REPS1_HUMAN
g10948	Apoly020718	HDC_HUMAN
g10949	Apoly020719	No_ID
g10950	Apoly020720	KNL1_HUMAN
g10951	Apoly020721	No_ID
g10952	Apoly020722	IF3M_BOVIN
g10953	Apoly020723	No_ID
g10954	Apoly020724	NUD14_BOVIN
g10955	Apoly020725	No_ID
g10956	Apoly020726	G2E3_HUMAN
g10960	Apoly020727	JAG2_HUMAN
g10961	Apoly020728	No_ID
g10962	Apoly020729	No_ID
g10966	Apoly020730	No_ID
g10967	Apoly020731	ESR2_ORENI
g10969	Apoly020733	SYNE2_HUMAN
g10970	Apoly020734	SYNE2_HUMAN
g10971	Apoly020735	SYNE2_HUMAN
g10972	Apoly020736	GARE2_MOUSE
g10973	Apoly020737	GARE2_HUMAN
g10974	Apoly020738	ECHA_MOUSE
g10975	Apoly020739	ECHB_BOVIN
g10981	Apoly020741	AP2D_HUMAN
g10982	Apoly020742	AP2B_HUMAN
g10985	Apoly020743	M3K5_HUMAN
g10986	Apoly020744	LRP11_HUMAN
g10987	Apoly020745	PIMT_DANRE
g10988	Apoly020746	LATS1_HUMAN
g10989	Apoly020747	RAB10_CHICK
g10990	Apoly020748	KIF3C_HUMAN
g10991	Apoly020749	TLR5_MOUSE
g10992	Apoly020750	DTNB_HUMAN
g10993	Apoly020751	DNM3A_CHICK
g10994	Apoly020752	DPYL5_HUMAN
g10995	Apoly020753	S35F6_HUMAN
g10996	Apoly020754	KCNK3_HUMAN
g10997	Apoly020755	ENPP1_HUMAN
g10998	Apoly020756	SYTL3_MOUSE
g10999	Apoly020757	EZRI_HUMAN
g11000	Apoly020758	TAGAP_HUMAN
g11002	Apoly020759	RN19A_HUMAN
g11003	Apoly020760	FNDC4_MOUSE
g11004	Apoly020761	PRS10_MOUSE
g11005	Apoly020762	CGRF1_MOUSE
g11006	Apoly020763	DDHD1_BOVIN
g11007	Apoly020764	STXB6_MOUSE
g11009	Apoly020765	MEIS2_MOUSE
g1101	Apoly018906	No_ID
g11011	Apoly020766	KCNKA_RAT
